# Constructed from biom file
#OTU ID	16S-Amostra1	16S-Amostra2	taxonomy
4516aa60a483dd8c7bbc57098c45f1a5	42.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium
105344b0b04df4d06036c8c91f439255	42.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A; s__Blautia_A sp900066505
cd8999653f4602d79dde0b767bfe3c16	41.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__CAG-83; s__CAG-83 sp000431575
1a124d3ab1b5ba2f5942855433a69752	40.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus; s__Coprococcus eutactus
bf37c87f8841a9f1a2cd20db4fa18b74	39.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
9eaff8c3aca7b74962decea682803d9c	37.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae; g__Intestinibacter; s__Intestinibacter sp900540355
810280ee8b44fa35cb79113989bd10aa	37.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella sp900313215
1ba6d63d2d88e6743c932b1d5f967954	37.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella sp900313215
2439630dac8eb6835e1f41246070e5fa	0.0	36.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Nocardia
31c7bc067538dcf7916e8b7cbefa44e5	35.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus
eb20b292b5812aecd6de9e596b40bb04	34.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Butyribacter; s__Butyribacter intestini
afdf709a402a0481143c43dca5a966f5	0.0	34.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Pseudonocardiaceae; g__Actinopolyspora
b7ced12aaaabbe84cefe618e1cd457a6	0.0	33.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides
2ee657e8d73105fdb87313a047117230	32.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Copromonas
a52f3bf538b077522581acbcd390217b	32.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__CAG-382; g__UMGS882; s__UMGS882 sp900546385
89cad34ed8183fad06a6430ec082d473	32.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella sp900313215
ad89a9d5fec4408fafb73e7225f44d08	29.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Dorea_A
d129c05600a2afc3b04fbf4090ead17f	0.0	26.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Geodermatophilaceae; g__Geodermatophilus; s__Geodermatophilus obscurus
8dc998690c208848dc6a884219d1d78b	25.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__CAG-83; s__CAG-83 sp001916855
7880b17b21da81ac4f5ca979cdbf52a6	24.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Dysosmobacter; s__Dysosmobacter sp001916835
98fcc7e4135d41152d2db711de5c1255	24.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides uniformis
c4cd95330363180ff529e5a92537e87d	23.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Butyribacter; s__Butyribacter sp001916135
16a32f028dd2cc5d730154539ce59a4d	22.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae; g__Agathobaculum
2eedf896e95f02090d22dd3e68742ce7	21.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A; s__Blautia_A obeum
17fdda78730bfacccea7d1b032ad0de9	21.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor sp900066565
777dafa3e5bad680cc5a2c1418e8b728	20.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Ventrimonas
df3d6113f855e22f2a6d44e60f01baa7	19.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae
070175299e62656222c1900a4edcc5ee	19.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
e6e16f6d8f51f9790a09baa597e7e480	0.0	19.0	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae
629465e502a5971f9808ccee2b4e1965	0.0	19.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces
5a54891d7390686d58f1872244e5cacd	0.0	19.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Gryllotalpicola; s__Gryllotalpicola protaetiae
461b7d1842c4a2a8d9000bc3c0879ce6	17.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella stercorea
ea48528db6d84e6d18bca2d4bc2eed34	17.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__CAG-177; s__CAG-177 sp900770255
da8b26f82eb70e299518e149ae85f3d9	17.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae; g__Agathobaculum; s__Agathobaculum butyriciproducens
3a2e84529949060743db3e340cfee803	16.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__UBA3402; s__UBA3402 sp003478355
38dd5a9ff239eb3c86903cfa52b97636	0.0	16.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Pseudonocardiaceae
97f703d9729fc7a7cf0807a5972a8202	0.0	16.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methylophilus; s__Methylophilus sp000525025
c7d1ed6c70202259164edf3ee7806f0c	15.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A
9df251784dde31e05f02b2ee1029d71c	15.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Fusicatenibacter; s__Fusicatenibacter saccharivorans
47d74904a190fe918c6eea86295320d2	15.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola; s__Phocaeicola massiliensis
f6bea811a0e624f01bbe51db2846dd48	14.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Agathobacter; s__Agathobacter rectalis
af2150fef76b295092cd60a788cbe500	14.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A; s__Blautia_A faecis
d331c54836ce2164d5d51154f369d9a4	14.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Limivicinus; s__Limivicinus sp002320035
